name;category;protein;vegetables;starches;dairy_products;sauce;price;nutri_score;id
Meatballs with bulgur, sweet corn, broccoli & onions;Red meat;meatballs;sweet corn | broccoli | onions;bulgur;none;olive oil dressing;5.10;B;225
Cod wild rice plate with spinach;Fish;cod;spinach | bell peppers;wild rice;greek yogurt;ginger soy glaze;5.00;B;226
Whitefish in tahini sauce over polenta;Fish;whitefish;beetroot | carrots;polenta;none;tahini sauce;5.10;B;227
Pork in olive oil dressing over gnocchi;Red meat;pork;bell peppers | peas | cauliflower;gnocchi;none;olive oil dressing;5.10;B;228
Smoked turkey in tomato sauce over potatoes;Poultry;smoked turkey;mushrooms;potatoes;greek yogurt;tomato sauce;5.00;B;229
Turkey with potatoes, leeks, squash & carrots;Poultry;turkey;leeks | squash | carrots;potatoes;none;lemon herb sauce;5.00;B;230
Duck over bulgur with bell peppers, asparagus & sweet corn;Poultry;duck;bell peppers | asparagus | sweet corn;bulgur;mozzarella;ginger soy glaze;5.30;B;231
Buttery Roasted ham over rice;Red meat;roasted ham;tomatoes;rice;greek yogurt;tahini sauce;5.50;B;232
BBQ ribs with couscous, carrots & asparagus;Red meat;bbq ribs;carrots | asparagus;couscous;ricotta;chimichurri;5.00;B;233
Chickpeas with polenta, peas & beetroot;Vegetarian;chickpeas;peas | beetroot;polenta;none;tomato sauce;5.10;B;234
Herb Seitan with onions & brown rice;Vegetarian;seitan;onions;brown rice;ricotta;tomato sauce;5.00;B;235
Trout with barley, squash & cabbage;Fish;trout;squash | cabbage;barley;mozzarella;soy sauce;5.20;B;236
Duck with gnocchi and mushrooms;Poultry;duck;mushrooms;gnocchi;mozzarella;soy sauce;5.40;B;237
Shrimp tempura with pasta, celery, bell peppers & leeks;Shellfish;shrimp tempura;celery | bell peppers | leeks;pasta;greek yogurt;olive oil dressing;5.30;B;238
Tempeh with wild rice, green beans & eggplant;Vegetarian;tempeh;green beans | eggplant;wild rice;mozzarella;soy sauce;5.30;B;239
Chicken with pasta, kale & cabbage;Poultry;chicken;kale | cabbage;pasta;none;olive oil dressing;5.40;B;240
Sausage bulgur plate with fried onions;Red meat;sausage;fried onions;bulgur;parmesan;cream sauce;5.10;C;241
Smoky cheese omelette with peas, leeks, broccoli & loaded fries;Vegetarian;cheese omelette;peas | leeks | broccoli;loaded fries;greek yogurt;lemon herb sauce;5.10;C;242
Buttery Pork belly over creamy pasta;Red meat;pork belly;beetroot | bell peppers;creamy pasta;mozzarella;spicy mayo;5.10;C;243
Fried fish with bulgur, green beans & broccoli;Fish;fried fish;green beans | broccoli;bulgur;ricotta;bbq sauce;5.30;C;244
Duck with butter rice, buttered corn, sweet corn & peas;Poultry;duck;buttered corn | sweet corn | peas;butter rice;greek yogurt;cream sauce;5.40;C;245
Meatballs with quinoa, kale, tomatoes & leeks;Red meat;meatballs;kale | tomatoes | leeks;quinoa;ricotta;bbq sauce;5.50;C;246
Chicken in soy sauce over creamy pasta;Poultry;chicken;beetroot | eggplant | zucchini;creamy pasta;cottage cheese;soy sauce;5.50;C;247
Zesty Cod with caramelized onions & butter rice;Fish;cod;caramelized onions;butter rice;greek yogurt;spicy mayo;5.00;C;248
Steak strips with udon noodles, tomatoes, broccoli & buttered corn;Red meat;steak strips;tomatoes | broccoli | buttered corn;udon noodles;gouda;honey mustard;5.30;C;249
Lentils with rice, fried onions & tomatoes;Vegetarian;lentils;fried onions | tomatoes;rice;cream cheese;basil sauce;5.50;C;250
Mediterranean chicken with butter rice, squash, eggplant & tomatoes;Poultry;chicken;squash | eggplant | tomatoes;butter rice;parmesan;chimichurri;5.40;C;251
Roasted Sausage bowl with kale;Red meat;sausage;kale;buttery mashed potatoes;blue cheese;honey mustard;5.40;C;252
Zesty Fried chicken with green beans & garlic butter noodles;Poultry;fried chicken;green beans;garlic butter noodles;mozzarella;spicy mayo;5.10;C;253
Roasted ham with quinoa, sweet corn, cauliflower & bell peppers;Red meat;roasted ham;sweet corn | cauliflower | bell peppers;quinoa;parmesan;pesto;5.50;C;254
Meatballs in pesto over buttery mashed potatoes;Red meat;meatballs;fried onions | sweet corn;buttery mashed potatoes;mozzarella;pesto;5.00;C;255
Crispy Mackerel bowl with spinach;Fish;mackerel;spinach;cheesy potatoes;heavy cream;cream sauce;5.00;C;256
Turkey in pesto over mac and cheese;Poultry;turkey;creamed spinach | carrots | eggplant;mac and cheese;feta;pesto;5.10;C;257
Fried tofu with cheesy potatoes, beetroot & creamed spinach;Vegetarian;fried tofu;beetroot | creamed spinach;cheesy potatoes;none;honey mustard;5.00;C;258
Lamb with quinoa, peas & zucchini;Red meat;lamb;peas | zucchini;quinoa;cheddar;spicy mayo;5.10;C;259
Lamb bowl with rice & kale;Red meat;lamb;kale;rice;blue cheese;honey mustard;5.00;C;260
Zesty Salmon over quinoa;Fish;salmon;buttered corn | celery | onions;quinoa;ricotta;chimichurri;5.30;C;261
Calamari with potatoes, carrots & broccoli;Shellfish;calamari;carrots | broccoli;potatoes;cottage cheese;honey mustard;5.30;C;262
Trout in soy sauce over wild rice;Fish;trout;fried peppers;wild rice;mozzarella;soy sauce;5.20;C;263
Beef with fried rice and cauliflower;Red meat;beef;cauliflower;fried rice;parmesan;butter sauce;5.20;C;264
Anchovies with butter rice and roasted garlic;Fish;anchovies;roasted garlic | green beans | peas;butter rice;heavy cream;pesto;5.30;C;265
BBQ ribs with cheesy potatoes, eggplant, leeks & celery;Red meat;bbq ribs;eggplant | leeks | celery;cheesy potatoes;none;four cheese sauce;5.00;C;266
Eggs and celery wild rice mix;Vegetarian;eggs;celery;wild rice;gouda;spicy mayo;5.10;C;267
Mackerel with brown rice, roasted garlic & squash;Fish;mackerel;roasted garlic | squash;brown rice;ricotta;ginger soy glaze;5.50;C;268
Creamy Steak strips with fried onions & garlic butter noodles;Red meat;steak strips;fried onions | celery | zucchini;garlic butter noodles;none;spicy mayo;5.20;C;269
Lamb in pesto over polenta;Red meat;lamb;beetroot | leeks;polenta;ricotta;pesto;5.40;C;270
Pork in lemon herb sauce over mac and cheese;Red meat;pork;squash;mac and cheese;cheddar;lemon herb sauce;5.00;C;271
rispy sausage with wild rice, cauliflower & tomatoes;Red meat;sausage;cauliflower | tomatoes;wild rice;gouda;ginger soy glaze;5.10;C;272
Steak strips with bulgur, tomatoes & sweet corn;Red meat;steak strips;tomatoes | sweet corn;bulgur;none;lemon herb sauce;5.50;C;273
Tangy Pork belly over quinoa;Red meat;pork belly;carrots | leeks | squash;quinoa;cottage cheese;butter sauce;5.40;C;274
Cheese omelette with sweet potatoes and leeks;Vegetarian;cheese omelette;leeks;sweet potatoes;heavy cream;chimichurri;5.30;C;275
Kidney beans with sweet potatoes, celery, onions & peas;Vegetarian;kidney beans;celery | onions | peas;sweet potatoes;mozzarella;cheese sauce;5.00;C;276
Tofu with cheesy potatoes, onions, asparagus & eggplan;Vegetarian;tofu;onions | asparagus | eggplant;cheesy potatoes;cheddar;honey mustard;5.40;C;277
Crispy Hake over garlic butter noodles;Fish;hake;kale | spinach;garlic butter noodles;cream cheese;bbq sauce;5.50;C;278
Duck brown rice plate with mushrooms;Poultry;duck;mushrooms | fried onions;brown rice;gouda;alfredo sauce;5.40;C;279
Fried chicken with loaded fries, fried onions & cauliflower;Poultry;fried chicken;fried onions | cauliflower;loaded fries;parmesan;honey mustard;5.50;C;280
Mediterranean Mackerel over cheesy potatoes;Fish;mackerel;kale | creamed spinach;cheesy potatoes;parmesan;tomato sauce;5.00;C;281
Grilled Salmon over garlic butter noodles;Fish;salmon;spinach | caramelized onions | leeks;garlic butter noodles;blue cheese;lemon herb sauce;5.20;C;282
Sausage with cheesy potatoes, carrots, roasted garlic & beetroot;Red meat;sausage;carrots | roasted garlic | beetroot;cheesy potatoes;none;lemon herb sauce;5.50;C;283
Cheese omelette bowl with kale;Vegetarian;cheese omelette;kale | buttered corn;barley;cheddar;butter sauce;5.40;C;284
Grilled Salmon over udon noodles;Fish;salmon;cabbage;udon noodles;cream cheese;pesto;5.40;C;285
Sausage with quinoa, asparagus & beetroot;Red meat;sausage;asparagus | beetroot;quinoa;none;cheese sauce;5.30;C;286
Seared tuna with butter rice and cabbage;Fish;seared tuna;cabbage | bell peppers | kale;butter rice;ricotta;chimichurri;5.10;C;287
Mackerel and buttered corn creamy pasta mix;Fish;mackerel;buttered corn | peas;creamy pasta;cream cheese;ginger soy glaze;5.30;C;288
Fried tofu and caramelized onions loaded fries mix;Vegetarian;fried tofu;caramelized onions | celery;loaded fries;heavy cream;bbq sauce;5.50;C;289
Tempeh in ginger soy glaze over mac and cheese;Vegetarian;tempeh;squash;mac and cheese;heavy cream;ginger soy glaze;5.40;C;290
Cheese omelette bowl with beetroot;Vegetarian;cheese omelette;beetroot;buttery mashed potatoes;none;alfredo sauce;5.00;C;291
Black beans with cabbage & cheesy potatoes;Vegetarian;black beans;cabbage;cheesy potatoes;heavy cream;chimichurri;5.00;C;292
Buttery Sausage with squash & polenta;Red meat;sausage;squash;polenta;heavy cream;bbq sauce;5.40;C;293
Duck brown rice plate with bell peppers;Poultry;duck;bell peppers;brown rice;feta;tahini sauce;5.40;C;294
Roasted seitan with cheesy potatoes, caramelized onions, celery & squash;Vegetarian;seitan;caramelized onions | celery | squash;cheesy potatoes;blue cheese;tahini sauce;5.10;C;295
Lamb and fried eggplant cheesy potatoes mix;Red meat;lamb;fried eggplant | carrots;cheesy potatoes;ricotta;soy sauce;5.50;C;296
Crispy Meatballs bowl with buttered corn;Red meat;meatballs;buttered corn;udon noodles;none;four cheese sauce;5.00;C;297
Fried chicken in pesto over polenta;Poultry;fried chicken;bell peppers | fried eggplant | green beans;polenta;greek yogurt;pesto;5.40;C;298
Grilled Sausage with sweet corn & gnocchi;Red meat;sausage;sweet corn;gnocchi;blue cheese;olive oil dressing;5.40;C;299
Sesame Smoked turkey over bulgur;Poultry;smoked turkey;roasted garlic | cauliflower;bulgur;heavy cream;basil sauce;5.20;C;300
Roasted Tempeh over gnocchi;Vegetarian;tempeh;fried onions | roasted garlic | fried eggplant;gnocchi;blue cheese;spicy mayo;5.10;C;301
Black beans with polenta, spinach, eggplant & leeks;Vegetarian;black beans;spinach | eggplant | leeks;polenta;none;spicy mayo;5.20;C;302
Duck with potatoes and zucchini;Poultry;duck;zucchini;potatoes;cottage cheese;chimichurri;5.00;C;303
Tempeh with bell peppers & brown rice;Vegetarian;tempeh;bell peppers;brown rice;none;ginger soy glaze;5.10;C;304
Tofu with creamy pasta, broccoli & cabbage;Vegetarian;tofu;broccoli | cabbage;creamy pasta;mozzarella;butter sauce;5.00;C;305
Roasted ham and cauliflower udon noodles mix;Red meat;roasted ham;cauliflower;udon noodles;blue cheese;cheese sauce;5.00;C;306
Creamy Fried chicken over buttery mashed potatoes;Poultry;fried chicken;creamed spinach;buttery mashed potatoes;cottage cheese;butter sauce;5.00;C;307
Lentils in soy sauce over loaded fries;Vegetarian;lentils;celery | carrots | leeks;loaded fries;heavy cream;soy sauce;5.30;C;308
Calamari in tahini sauce over udon noodles;Shellfish;calamari;onions | cauliflower | leeks;udon noodles;none;tahini sauce;5.50;C;309
Paneer wild rice plate with beetroot;Vegetarian;paneer;beetroot;wild rice;mozzarella;soy sauce;5.10;C;310
Smoked turkey and asparagus loaded fries mix;Poultry;smoked turkey;asparagus;loaded fries;heavy cream;tahini sauce;5.10;C;311
Fried tofu with bulgur, zucchini & caramelized onions;Vegetarian;fried tofu;zucchini | caramelized onions;bulgur;blue cheese;tahini sauce;5.40;C;312
Tangy Chickpeas over pasta;Vegetarian;chickpeas;peas;pasta;cheddar;ginger soy glaze;5.40;C;313
Veal with couscous, kale, cauliflower & tomatoes;Red meat;veal;kale | cauliflower | tomatoes;couscous;cottage cheese;ranch sauce;5.40;C;314
Salmon and cauliflower creamy pasta mix;Fish;salmon;cauliflower;creamy pasta;cream cheese;olive oil dressing;5.10;C;315
Crispy black beans with udon noodles, onions, leeks & creamed spinachs;Vegetarian;black beans;onions | leeks | creamed spinach;udon noodles;heavy cream;soy sauce;5.50;C;316
Cheesy chickpeas with potatoes & roasted garlic;Vegetarian;chickpeas;roasted garlic;potatoes;cream cheese;four cheese sauce;5.40;C;317
Zesty Lentils with fried eggplant & bulgur;Vegetarian;lentils;fried eggplant;bulgur;feta;olive oil dressing;5.50;C;318
Hake with gnocchi, tomatoes, fried eggplant & cauliflower;Fish;hake;tomatoes | fried eggplant | cauliflower;gnocchi;cottage cheese;olive oil dressing;5.00;C;319
Shrimp tempura with couscous and bell peppers;Shellfish;shrimp tempura;bell peppers;couscous;heavy cream;alfredo sauce;5.00;C;320
Chickpeas in chimichurri over polenta;Vegetarian;chickpeas;spinach | carrots;polenta;gouda;chimichurri;5.50;C;321
Black beans gnocchi plate with asparagus;Vegetarian;black beans;asparagus;gnocchi;parmesan;spicy mayo;5.20;C;322
Cod and onions creamy pasta mix;Fish;cod;onions | roasted garlic | caramelized onions;creamy pasta;cottage cheese;ginger soy glaze;5.20;C;323
Cheesy trout with quinoa, asparagus & broccoli;Fish;trout;asparagus | broccoli;quinoa;cottage cheese;four cheese sauce;5.20;C;324
Creamy Fried tofu over garlic butter noodles;Vegetarian;fried tofu;mushrooms;garlic butter noodles;gouda;olive oil dressing;5.10;C;325
Cheese omelette in ginger soy glaze over mac and cheese;Vegetarian;cheese omelette;onions;mac and cheese;gouda;ginger soy glaze;5.00;C;326
Trout couscous plate with spinach;Fish;trout;spinach;couscous;heavy cream;ginger soy glaze;5.10;C;327
Cheesy lamb with fried rice, beetroot, sweet corn & onions;Red meat;lamb;beetroot | sweet corn | onions;fried rice;cheddar;four cheese sauce;5.30;C;328
Tuna with rice, cauliflower, kale & celery;Fish;tuna;cauliflower | kale | celery;rice;parmesan;tomato sauce;5.40;C;329
Tangy Pork belly over brown rice;Red meat;pork belly;kale;brown rice;cottage cheese;alfredo sauce;5.40;C;330
Crispy lamb with gnocchi, celery & cauliflower;Red meat;lamb;celery | cauliflower;gnocchi;parmesan;tahini sauce;5.40;C;331
Meatballs and eggplant polenta mix;Red meat;meatballs;eggplant;polenta;cream cheese;lemon herb sauce;5.20;C;332
Crispy Tuna with squash & sweet potatoes;Fish;tuna;squash | spinach;sweet potatoes;cottage cheese;chimichurri;5.20;C;333
Tempeh in ranch sauce over polenta;Vegetarian;tempeh;roasted garlic | spinach | caramelized onions;polenta;cheddar;ranch sauce;5.10;C;334
Mediterranean Cheese omelette with asparagus & potatoes;Vegetarian;cheese omelette;asparagus;potatoes;parmesan;tomato sauce;5.40;C;335
Fried tofu over creamy pasta with spinach and eggplant;Vegetarian;fried tofu;spinach | fried eggplant;creamy pasta;greek yogurt;ranch sauce;5.50;C;336
Chicken and broccoli loaded fries mix;Poultry;chicken;broccoli | sweet corn;loaded fries;cheddar;alfredo sauce;5.50;C;337
Steak strips with garlic butter noodles, asparagus, bell peppers & peas;Red meat;steak strips;asparagus | bell peppers | peas;garlic butter noodles;cheddar;basil sauce;5.00;C;338
Shrimp tempura with loaded fries, mushrooms, bell peppers & broccoli;Shellfish;shrimp tempura;mushrooms | bell peppers | broccoli;loaded fries;ricotta;tahini sauce;5.10;C;339
Tangy Shrimp tempura over butter rice;Shellfish;shrimp tempura;cabbage;butter rice;ricotta;tomato sauce;5.30;C;340
Buttery Turkey with bell peppers & bulgur;Poultry;turkey;bell peppers;bulgur;mozzarella;basil sauce;5.10;C;341
Shrimp with bulgur, creamed spinach & buttered corn;Shellfish;shrimp;sweet corn | creamed spinach | buttered corn;bulgur;cream cheese;bbq sauce;5.40;C;342
Pork belly with wild rice, caramelized onions, peas & broccoli;Red meat;pork belly;caramelized onions | peas | broccoli;wild rice;mozzarella;tahini sauce;5.20;C;343
Whitefish with sweet potatoes and asparagus;Fish;whitefish;asparagus | carrots | sweet corn;sweet potatoes;heavy cream;basil sauce;5.30;C;344
Smoked turkey fried rice plate with peas;Poultry;smoked turkey;peas;fried rice;gouda;four cheese sauce;5.20;C;345
Paneer in four cheese sauce over couscous;Vegetarian;paneer;peas | buttered corn;couscous;cheddar;four cheese sauce;5.20;C;346
Chickpeas with sweet potatoes, leeks & creamed spinach;Vegetarian;chickpeas;leeks | creamed spinach;sweet potatoes;mozzarella;ranch sauce;5.40;C;347
Sausage over cheesy potatoes;Red meat;sausage;onions;cheesy potatoes;parmesan;soy sauce;5.30;C;348
Black beans fried rice plate with leeks;Vegetarian;black beans;leeks | roasted garlic;fried rice;cheddar;cream sauce;5.00;C;349
Bbq ribs in basil sauce over butter rice;Red meat;bbq ribs;spinach | mushrooms;butter rice;mozzarella;basil sauce;5.00;C;350
Beef in ginger soy glaze over cheesy potatoes;Red meat;beef;beetroot | cauliflower | peas;cheesy potatoes;cheddar;ginger soy glaze;5.50;C;351
Tuna in four cheese sauce over pasta;Fish;tuna;roasted garlic;pasta;cheddar;four cheese sauce;5.30;C;352
Black beans with pasta, carrots, spinach & roasted garlic;Vegetarian;black beans;carrots | spinach | roasted garlic;pasta;blue cheese;lemon herb sauce;5.00;C;353
Chicken and bell peppers sweet potatoes mix;Poultry;chicken;bell peppers;sweet potatoes;cheddar;basil sauce;5.40;C;354
Sesame Fried fish bowl with kale;Fish;fried fish;kale;brown rice;greek yogurt;cheese sauce;5.10;C;355
Herb Veal over polenta;Red meat;veal;cauliflower | broccoli;polenta;gouda;chimichurri;5.50;C;356
Anchovies with cheesy potatoes, cabbage, eggplant & mushrooms;Fish;anchovies;cabbage | eggplant | mushrooms;cheesy potatoes;feta;lemon herb sauce;5.30;C;357
Pork belly loaded fries plate with sweet corn;Red meat;pork belly;sweet corn | caramelized onions;loaded fries;mozzarella;ranch sauce;5.50;C;358
Pork with pasta and fried eggplant;Red meat;pork;fried eggplant | peas;pasta;ricotta;ranch sauce;5.10;C;359
Cheesy mackerel with gnocchi, leeks & peas;Fish;mackerel;leeks | peas;gnocchi;none;cheese sauce;5.10;C;360
Mackerel with butter rice, caramelized onions & buttered corn;Fish;mackerel;caramelized onions | buttered corn;butter rice;parmesan;honey mustard;5.20;D;361
Anchovies with loaded fries, green beans, creamed spinach & peas;Fish;anchovies;green beans | creamed spinach | peas;loaded fries;cheddar;bbq sauce;5.30;D;362
Lentils with mashed potatoes, beetroot & onions;Vegetarian;lentils;beetroot | onions;buttery mashed potatoes;parmesan;spicy mayo;5.40;D;363
Fried tofu buttery mashed potatoes plate with creamed spinach;Vegetarian;fried tofu;creamed spinach | caramelized onions;buttery mashed potatoes;cheddar;four cheese sauce;5.50;D;364
Seitan with garlic butter noodles and cabbage;Vegetarian;seitan;cabbage | fried onions;garlic butter noodles;heavy cream;cream sauce;5.20;D;365
Veal with buttery mashed potatoes and buttered corn;Red meat;veal;buttered corn | roasted garlic;buttery mashed potatoes;heavy cream;alfredo sauce;5.40;D;366
Smoky Tuna over mac and cheese;Fish;tuna;celery | bell peppers;mac and cheese;blue cheese;cream sauce;5.00;D;367
Tangy Whitefish with mushrooms & fried rice;Fish;whitefish;mushrooms | squash | asparagus;fried rice;parmesan;honey mustard;5.10;D;368
Calamari and caramelized onions loaded fries mix;Shellfish;calamari;caramelized onions | green beans;loaded fries;blue cheese;alfredo sauce;5.40;D;369
Fried chicken and fried eggplant garlic butter noodles mix;Poultry;fried chicken;fried eggplant | sweet corn;garlic butter noodles;parmesan;butter sauce;5.40;D;370
Turkey with creamy pasta, peas, asparagus & tomatoes;Poultry;turkey;peas | asparagus | tomatoes;creamy pasta;cheddar;butter sauce;5.50;D;371
Lamb with butter rice, leeks, sweet corn & eggplant;Red meat;lamb;leeks | sweet corn | eggplant;butter rice;cream cheese;spicy mayo;5.30;D;372
Duck with loaded fries and bell peppers;Poultry;duck;bell peppers | green beans | kale;loaded fries;heavy cream;cheese sauce;5.20;D;373
Smoked turkey over loaded fries;Poultry;smoked turkey;sweet corn | peas | beetroot;loaded fries;cheddar;honey mustard;5.20;D;374
Duck and buttered corn mac and cheese mix;Poultry;duck;buttered corn | mushrooms | green beans;mac and cheese;parmesan;bbq sauce;5.20;D;375
Tangy Sausage over creamy pasta;Red meat;sausage;buttered corn | green beans;creamy pasta;parmesan;spicy mayo;5.00;D;376
Smoked turkey bowl with cabbage;Poultry;smoked turkey;cabbage | zucchini;butter rice;heavy cream;honey mustard;5.10;D;377
Crispy Shrimp over creamy pasta;Shellfish;shrimp;bell peppers | broccoli | buttered corn;creamy pasta;parmesan;cheese sauce;5.50;D;378
Cheesy kidney beans with buttered corn, roasted garlic & creamed spinach;Vegetarian;kidney beans;buttered corn | roasted garlic | creamed spinach;cheesy potatoes;blue cheese;cream sauce;5.00;D;379
Grilled Shrimp tempura bowl with squash;Shellfish;shrimp tempura;squash | leeks | fried peppers;buttery mashed potatoes;blue cheese;honey mustard;5.50;D;380
Salmon with creamy pasta ;Fish;salmon;carrots | kale | peas;creamy pasta;gouda;honey mustard;5.20;D;381
Pork belly in bbq sauce over cheesy potatoes;Red meat;pork belly;roasted garlic | carrots;cheesy potatoes;gouda;bbq sauce;5.40;D;382
Tangy Meatballs with buttered corn & fried rice;Red meat;meatballs;buttered corn | peas | celery;fried rice;parmesan;ranch sauce;5.20;D;383
Tangy Kidney beans over fried rice;Vegetarian;kidney beans;mushrooms | spinach;fried rice;cream cheese;cream sauce;5.30;D;384
Lentils with fried eggplant & garlic butter noodles;Vegetarian;lentils;fried eggplant | carrots | green beans;garlic butter noodles;cheddar;four cheese sauce;5.20;D;385
Smoky Pork belly with buttered corn & creamy pasta;Red meat;pork belly;buttered corn | celery | tomatoes;creamy pasta;heavy cream;honey mustard;5.20;D;386
Roasted Veal bowl with caramelized onions;Red meat;veal;caramelized onions | mushrooms | bell peppers;fried rice;cheddar;butter sauce;5.20;D;387
Calamari in cream sauce over creamy pasta;Shellfish;calamari;bell peppers | carrots;creamy pasta;parmesan;cream sauce;5.50;D;388
Paneer in alfredo sauce over mac and cheese;Vegetarian;paneer;peas | asparagus;mac and cheese;gouda;alfredo sauce;5.50;D;389
Roasted Duck bowl with fried peppers;Poultry;duck;fried peppers | sweet corn;buttery mashed potatoes;blue cheese;butter sauce;5.50;D;390
Paneer in honey mustard over loaded fries;Vegetarian;paneer;squash | broccoli;loaded fries;gouda;honey mustard;5.40;D;391
Fried fish in alfredo sauce over cheesy potatoes;Fish;fried fish;spinach | roasted garlic;cheesy potatoes;parmesan;alfredo sauce;5.40;D;392
Buttery Fried chicken with fried peppers & mac and cheese;Poultry;fried chicken;fried peppers | peas | zucchini;mac and cheese;heavy cream;cream sauce;5.50;D;393
Tangy Fried tofu with roasted garlic & creamy pasta;Vegetarian;fried tofu;roasted garlic | fried onions;creamy pasta;heavy cream;spicy mayo;5.10;D;394
Shrimp with fried rice, sweet corn & bell peppers;Shellfish;shrimp;sweet corn | bell peppers;fried rice;heavy cream;butter sauce;5.30;D;395
Cheese omelette in four cheese sauce over loaded fries;Vegetarian;cheese omelette;green beans | zucchini | caramelized onions;loaded fries;cream cheese;four cheese sauce;5.10;D;396
Turkey with loaded fries, leeks & creamed spinach;Poultry;turkey;leeks | creamed spinach;loaded fries;parmesan;ranch sauce;5.10;D;397
Crispy Black beans with caramelized onions & butter rice;Vegetarian;black beans;caramelized onions | zucchini;butter rice;gouda;honey mustard;5.50;D;398
Grilled Shrimp tempura with eggplant & cheesy potatoes;Shellfish;shrimp tempura;eggplant | roasted garlic | caramelized onions;cheesy potatoes;gouda;four cheese sauce;5.10;D;399
Lentils with buttery mashed potatoes, fried peppers & fried eggplant;Vegetarian;lentils;fried peppers | fried eggplant;buttery mashed potatoes;cream cheese;cream sauce;5.30;D;400
Duck in cream sauce over cheesy potatoes;Poultry;duck;fried peppers | mushrooms;cheesy potatoes;blue cheese;cream sauce;5.00;D;401
Pork belly with garlic butter noodles and bell peppers;Red meat;pork belly;bell peppers | kale | celery;garlic butter noodles;heavy cream;honey mustard;5.30;D;402
Creamy veal with buttery mashed potatoes, celery, beetroot & mushrooms;Red meat;veal;celery | beetroot | mushrooms;buttery mashed potatoes;heavy cream;alfredo sauce;5.00;D;403
Tangy Trout with creamed spinach & creamy pasta;Fish;trout;creamed spinach | fried peppers | celery;creamy pasta;parmesan;butter sauce;5.50;D;404
Creamy Chickpeas with asparagus & mac and cheese;Vegetarian;chickpeas;asparagus | green beans | buttered corn;mac and cheese;gouda;four cheese sauce;5.40;D;405
Turkey in bbq sauce over buttery mashed potatoes;Poultry;turkey;mushrooms | fried onions;buttery mashed potatoes;blue cheese;bbq sauce;5.30;D;406
Tuna with loaded fries, zucchini & fried peppers;Fish;tuna;zucchini | fried peppers;loaded fries;blue cheese;alfredo sauce;5.00;D;407
Sesame Paneer over butter rice;Vegetarian;paneer;bell peppers | peas;butter rice;heavy cream;bbq sauce;5.10;D;408
Cheese omelette with cheesy potatoes, broccoli & creamed spinach;Vegetarian;cheese omelette;broccoli | creamed spinach;cheesy potatoes;cheddar;four cheese sauce;5.30;D;409
Creamy black beans with cheesy potatoes, fried peppers & cauliflower;Vegetarian;black beans;fried peppers | cauliflower;cheesy potatoes;cream cheese;cream sauce;5.30;D;410
Fried chicken with cheesy potatoes, sweet corn & creamed spinach;Poultry;fried chicken;sweet corn | creamed spinach;cheesy potatoes;blue cheese;bbq sauce;5.30;D;411
Chickpeas with loaded fries, roasted garlic, asparagus & cabbage;Vegetarian;chickpeas;roasted garlic | asparagus | cabbage;loaded fries;cream cheese;butter sauce;5.30;D;412
Veal with mac and cheese and tomatoes;Red meat;veal;tomatoes | carrots;mac and cheese;blue cheese;ranch sauce;5.40;D;413
Smoky Roasted ham over fried rice;Red meat;roasted ham;carrots | fried peppers | zucchini;fried rice;blue cheese;cream sauce;5.40;D;414
Tuna with loaded fries, fried peppers & cauliflower;Fish;tuna;fried peppers | cauliflower;loaded fries;blue cheese;four cheese sauce;5.30;D;415
Paneer in cheese sauce over cheesy potatoes;Vegetarian;paneer;carrots | beetroot;cheesy potatoes;blue cheese;cheese sauce;5.50;D;416
Mediterranean Turkey over cheesy potatoes;Poultry;turkey;onions | mushrooms | zucchini;cheesy potatoes;cream cheese;bbq sauce;5.10;D;417
Roasted whitefish over fried rice;Fish;whitefish;asparagus | broccoli | fried peppers;fried rice;gouda;butter sauce;5.00;D;418
Anchovies creamy pasta plate;Fish;anchovies;onions | beetroot | sweet corn;creamy pasta;parmesan;alfredo sauce;5.10;D;419
Fried tofu with buttery mashed potatoes, celery & spinach;Vegetarian;fried tofu;celery | spinach;buttery mashed potatoes;parmesan;bbq sauce;5.40;D;420
Zesty Fried fish with onions & mac and cheese;Fish;fried fish;onions | bell peppers;mac and cheese;blue cheese;cheese sauce;5.50;D;421
Chickpeas over mac and cheese;Vegetarian;chickpeas;celery | leeks;mac and cheese;blue cheese;four cheese sauce;5.50;D;422
Fried fish with mac and cheese, beetroot & asparagus;Fish;fried fish;beetroot | asparagus;mac and cheese;blue cheese;cheese sauce;5.40;D;423
Smoky Pork belly over creamy pasta;Red meat;pork belly;spinach | asparagus | creamed spinach;creamy pasta;cream cheese;butter sauce;5.20;D;424
Cod with fried rice, roasted garlic & creamed spinach;Fish;cod;roasted garlic | peas | creamed spinach;fried rice;gouda;butter sauce;5.10;D;425
Mediterranean Black beans over garlic butter noodles;Vegetarian;black beans;onions | sweet corn | mushrooms;garlic butter noodles;heavy cream;cream sauce;5.10;D;426
Creamy Hake over butter rice;Fish;hake;beetroot | peas;butter rice;cream cheese;cheese sauce;5.10;D;427
Creamy tempeh with pasta, fried peppers & eggplant;Vegetarian;tempeh;fried peppers | fried eggplant;creamy pasta;blue cheese;alfredo sauce;5.00;D;428
Tuna in four cheese sauce over loaded fries;Fish;tuna;kale | broccoli;loaded fries;cream cheese;four cheese sauce;5.20;D;429
Sausage and asparagus fried rice mix;Red meat;sausage;asparagus | leeks | mushrooms;fried rice;blue cheese;four cheese sauce;5.20;D;430
