id;dish_name;meal_category;protein_main;vegetables;starches;sauce;dairy;protein_category;nutriscore_calculated;Price
207;Seared tuna with wild rice, peas, asparagus & cauliflower;Fish;seared tuna;peas | asparagus | cauliflower;wild rice;lemon herb sauce;feta;Fish;B;5.00
208;Smoked turkey rice plate with peas;Poultry;smoked turkey;peas;rice;tomato sauce;ricotta;Poultry;B;5.20
209;Shrimp udon noodles plate with asparagus;Shellfish;shrimp;asparagus;udon noodles;olive oil dressing;feta;Shellfish;B;5.20
210;Smoky meatballs with bulgur, green beans & sweet corn;Red meat;meatballs;green beans | sweet corn;bulgur;ginger soy glaze;feta;Red meat;B;5.40
211;Paneer over rice with cauliflower & pesto;Vegetarian;paneer;cauliflower;rice;pesto;feta;Vegetarian;B;5.30
212;Calamari bulgur plate with squash;Shellfish;calamari;squash;bulgur;olive oil dressing;none;Shellfish;B;5.20
213;Crispy pork with quinoa, green beans & mushrooms;Red meat;pork;green beans | mushrooms;quinoa;basil sauce;mozzarella;Red meat;B;5.40
214;Duck in lemon herb sauce over bulgur;Poultry;duck;cabbage;bulgur;lemon herb sauce;mozzarella;Poultry;B;5.10
215;Mackerel with gnocchi, broccoli & beetroot;Fish;mackerel;broccoli | beetroot;gnocchi;pesto;mozzarella;Fish;B;5.00
216;Smoky Shrimp tempura over rice;Shellfish;shrimp tempura;tomatoes | zucchini | cauliflower;rice;tahini sauce;cottage cheese;Shellfish;B;5.00
217;Roasted beef with couscous, mushrooms, carrots & peas;Red meat;beef;mushrooms | carrots | peas;couscous;lemon herb sauce;greek yogurt;Red meat;B;5.50
218;Tangy Beef over brown rice;Red meat;beef;cabbage | spinach | green beans;brown rice;chimichurri;greek yogurt;Red meat;B;5.10
219;Hake with brown rice and onions;Fish;hake;onions;brown rice;tomato sauce;feta;Fish;B;5.40
220;Chickpeas with rice, eggplant, mushrooms & green beans;Vegetarian;chickpeas;eggplant | mushrooms | green beans;rice;pesto;none;Vegetarian;B;5.10
221;Meatballs with brown rice, squash, zucchini & leeks;Red meat;meatballs;squash | zucchini | leeks;brown rice;ginger soy glaze;greek yogurt;Red meat;B;5.40
222;Smoked turkey with bulgur, eggplant, cabbage & celery;Poultry;smoked turkey;eggplant | cabbage | celery;bulgur;basil sauce;none;Poultry;B;5.50
223;Mackerel with udon noodles, spinach & leeks;Fish;mackerel;spinach | leeks;udon noodles;pesto;ricotta;Fish;B;5.00
224;Smoky Seitan over quinoa;Vegetarian;seitan;carrots;quinoa;pesto;greek yogurt;Vegetarian;B;5.10
225;Meatballs with bulgur, sweet corn, broccoli & onions;Red meat;meatballs;sweet corn | broccoli | onions;bulgur;olive oil dressing;none;Red meat;B;5.10
226;Cod wild rice plate with spinach;Fish;cod;spinach | bell peppers;wild rice;ginger soy glaze;greek yogurt;Fish;B;5.00
227;Whitefish in tahini sauce over polenta;Fish;whitefish;beetroot | carrots;polenta;tahini sauce;none;Fish;B;5.10
228;Pork in olive oil dressing over gnocchi;Red meat;pork;bell peppers | peas | cauliflower;gnocchi;olive oil dressing;none;Red meat;B;5.10
229;Smoked turkey in tomato sauce over potatoes;Poultry;smoked turkey;mushrooms;potatoes;tomato sauce;greek yogurt;Poultry;B;5.00
230;Turkey with potatoes, leeks, squash & carrots;Poultry;turkey;leeks | squash | carrots;potatoes;lemon herb sauce;none;Poultry;B;5.00
231;Duck over bulgur with bell peppers, asparagus & sweet corn;Poultry;duck;bell peppers | asparagus | sweet corn;bulgur;ginger soy glaze;mozzarella;Poultry;B;5.30
232;Buttery Roasted ham over rice;Red meat;roasted ham;tomatoes;rice;tahini sauce;greek yogurt;Red meat;B;5.50
233;BBQ ribs with couscous, carrots & asparagus;Red meat;bbq ribs;carrots | asparagus;couscous;chimichurri;ricotta;Red meat;B;5.00
234;Chickpeas with polenta, peas & beetroot;Vegetarian;chickpeas;peas | beetroot;polenta;tomato sauce;none;Vegetarian;B;5.10
235;Herb Seitan with onions & brown rice;Vegetarian;seitan;onions;brown rice;tomato sauce;ricotta;Vegetarian;B;5.00
236;Trout with barley, squash & cabbage;Fish;trout;squash | cabbage;barley;soy sauce;mozzarella;Fish;B;5.20
237;Duck with gnocchi and mushrooms;Poultry;duck;mushrooms;gnocchi;soy sauce;mozzarella;Poultry;B;5.40
238;Shrimp tempura with pasta, celery, bell peppers & leeks;Shellfish;shrimp tempura;celery | bell peppers | leeks;pasta;olive oil dressing;greek yogurt;Shellfish;B;5.30
239;Tempeh with wild rice, green beans & eggplant;Vegetarian;tempeh;green beans | eggplant;wild rice;soy sauce;mozzarella;Vegetarian;B;5.30
240;Chicken with pasta, kale & cabbage;Poultry;chicken;kale | cabbage;pasta;olive oil dressing;none;Poultry;B;5.40
241;Sausage bulgur plate with fried onions;Red meat;sausage;fried onions;bulgur;cream sauce;parmesan;Red meat;C;5.10
242;Smoky cheese omelette with peas, leeks, broccoli & loaded fries;Vegetarian;cheese omelette;peas | leeks | broccoli;loaded fries;lemon herb sauce;greek yogurt;Vegetarian;C;5.10
243;Buttery Pork belly over creamy pasta;Red meat;pork belly;beetroot | bell peppers;creamy pasta;spicy mayo;mozzarella;Red meat;C;5.10
244;Fried fish with bulgur, green beans & broccoli;Fish;fried fish;green beans | broccoli;bulgur;bbq sauce;ricotta;Fish;C;5.30
245;Duck with butter rice, buttered corn, sweet corn & peas;Poultry;duck;buttered corn | sweet corn | peas;butter rice;cream sauce;greek yogurt;Poultry;C;5.40
246;Meatballs with quinoa, kale, tomatoes & leeks;Red meat;meatballs;kale | tomatoes | leeks;quinoa;bbq sauce;ricotta;Red meat;C;5.50
247;Chicken in soy sauce over creamy pasta;Poultry;chicken;beetroot | eggplant | zucchini;creamy pasta;soy sauce;cottage cheese;Poultry;C;5.50
248;Zesty Cod with caramelized onions & butter rice;Fish;cod;caramelized onions;butter rice;spicy mayo;greek yogurt;Fish;C;5.00
249;Steak strips with udon noodles, tomatoes, broccoli & buttered corn;Red meat;steak strips;tomatoes | broccoli | buttered corn;udon noodles;honey mustard;gouda;Red meat;C;5.30
250;Lentils with rice, fried onions & tomatoes;Vegetarian;lentils;fried onions | tomatoes;rice;basil sauce;cream cheese;Vegetarian;C;5.50
251;Mediterranean chicken with butter rice, squash, eggplant & tomatoes;Poultry;chicken;squash | eggplant | tomatoes;butter rice;chimichurri;parmesan;Poultry;C;5.40
252;Roasted Sausage bowl with kale;Red meat;sausage;kale;buttery mashed potatoes;honey mustard;blue cheese;Red meat;C;5.40
253;Zesty Fried chicken with green beans & garlic butter noodles;Poultry;fried chicken;green beans;garlic butter noodles;spicy mayo;mozzarella;Poultry;C;5.10
254;Roasted ham with quinoa, sweet corn, cauliflower & bell peppers;Red meat;roasted ham;sweet corn | cauliflower | bell peppers;quinoa;pesto;parmesan;Red meat;C;5.50
255;Meatballs in pesto over buttery mashed potatoes;Red meat;meatballs;fried onions | sweet corn;buttery mashed potatoes;pesto;mozzarella;Red meat;C;5.00
256;Crispy Mackerel bowl with spinach;Fish;mackerel;spinach;cheesy potatoes;cream sauce;heavy cream;Fish;C;5.00
257;Turkey in pesto over mac and cheese;Poultry;turkey;creamed spinach | carrots | eggplant;mac and cheese;pesto;feta;Poultry;C;5.10
258;Fried tofu with cheesy potatoes, beetroot & creamed spinach;Vegetarian;fried tofu;beetroot | creamed spinach;cheesy potatoes;honey mustard;none;Vegetarian;C;5.00
259;Lamb with quinoa, peas & zucchini;Red meat;lamb;peas | zucchini;quinoa;spicy mayo;cheddar;Red meat;C;5.10
260;Lamb bowl with rice & kale;Red meat;lamb;kale;rice;honey mustard;blue cheese;Red meat;C;5.00
261;Zesty Salmon over quinoa;Fish;salmon;buttered corn | celery | onions;quinoa;chimichurri;ricotta;Fish;C;5.30
262;Calamari with potatoes, carrots & broccoli;Shellfish;calamari;carrots | broccoli;potatoes;honey mustard;cottage cheese;Shellfish;C;5.30
263;Trout in soy sauce over wild rice;Fish;trout;fried peppers;wild rice;soy sauce;mozzarella;Fish;C;5.20
264;Beef with fried rice and cauliflower;Red meat;beef;cauliflower;fried rice;butter sauce;parmesan;Red meat;C;5.20
265;Anchovies with butter rice and roasted garlic;Fish;anchovies;roasted garlic | green beans | peas;butter rice;pesto;heavy cream;Fish;C;5.30
266;BBQ ribs with cheesy potatoes, eggplant, leeks & celery;Red meat;bbq ribs;eggplant | leeks | celery;cheesy potatoes;four cheese sauce;none;Red meat;C;5.00
267;Eggs and celery wild rice mix;Vegetarian;eggs;celery;wild rice;spicy mayo;gouda;Vegetarian;C;5.10
268;Mackerel with brown rice, roasted garlic & squash;Fish;mackerel;roasted garlic | squash;brown rice;ginger soy glaze;ricotta;Fish;C;5.50
269;Creamy Steak strips with fried onions & garlic butter noodles;Red meat;steak strips;fried onions | celery | zucchini;garlic butter noodles;spicy mayo;none;Red meat;C;5.20
270;Lamb in pesto over polenta;Red meat;lamb;beetroot | leeks;polenta;pesto;ricotta;Red meat;C;5.40
271;Pork in lemon herb sauce over mac and cheese;Red meat;pork;squash;mac and cheese;lemon herb sauce;cheddar;Red meat;C;5.00
272;rispy sausage with wild rice, cauliflower & tomatoes;Red meat;sausage;cauliflower | tomatoes;wild rice;ginger soy glaze;gouda;Red meat;C;5.10
273;Steak strips with bulgur, tomatoes & sweet corn;Red meat;steak strips;tomatoes | sweet corn;bulgur;lemon herb sauce;none;Red meat;C;5.50
274;Tangy Pork belly over quinoa;Red meat;pork belly;carrots | leeks | squash;quinoa;butter sauce;cottage cheese;Red meat;C;5.40
275;Cheese omelette with sweet potatoes and leeks;Vegetarian;cheese omelette;leeks;sweet potatoes;chimichurri;heavy cream;Vegetarian;C;5.30
276;Kidney beans with sweet potatoes, celery, onions & peas;Vegetarian;kidney beans;celery | onions | peas;sweet potatoes;cheese sauce;mozzarella;Vegetarian;C;5.00
277;Tofu with cheesy potatoes, onions, asparagus & eggplan;Vegetarian;tofu;onions | asparagus | eggplant;cheesy potatoes;honey mustard;cheddar;Vegetarian;C;5.40
278;Crispy Hake over garlic butter noodles;Fish;hake;kale | spinach;garlic butter noodles;bbq sauce;cream cheese;Fish;C;5.50
279;Duck brown rice plate with mushrooms;Poultry;duck;mushrooms | fried onions;brown rice;alfredo sauce;gouda;Poultry;C;5.40
280;Fried chicken with loaded fries, fried onions & cauliflower;Poultry;fried chicken;fried onions | cauliflower;loaded fries;honey mustard;parmesan;Poultry;C;5.50
281;Mediterranean Mackerel over cheesy potatoes;Fish;mackerel;kale | creamed spinach;cheesy potatoes;tomato sauce;parmesan;Fish;C;5.00
282;Grilled Salmon over garlic butter noodles;Fish;salmon;spinach | caramelized onions | leeks;garlic butter noodles;lemon herb sauce;blue cheese;Fish;C;5.20
283;Sausage with cheesy potatoes, carrots, roasted garlic & beetroot;Red meat;sausage;carrots | roasted garlic | beetroot;cheesy potatoes;lemon herb sauce;none;Red meat;C;5.50
284;Cheese omelette bowl with kale;Vegetarian;cheese omelette;kale | buttered corn;barley;butter sauce;cheddar;Vegetarian;C;5.40
285;Grilled Salmon over udon noodles;Fish;salmon;cabbage;udon noodles;pesto;cream cheese;Fish;C;5.40
286;Sausage with quinoa, asparagus & beetroot;Red meat;sausage;asparagus | beetroot;quinoa;cheese sauce;none;Red meat;C;5.30
287;Seared tuna with butter rice and cabbage;Fish;seared tuna;cabbage | bell peppers | kale;butter rice;chimichurri;ricotta;Fish;C;5.10
288;Mackerel and buttered corn creamy pasta mix;Fish;mackerel;buttered corn | peas;creamy pasta;ginger soy glaze;cream cheese;Fish;C;5.30
289;Fried tofu and caramelized onions loaded fries mix;Vegetarian;fried tofu;caramelized onions | celery;loaded fries;bbq sauce;heavy cream;Vegetarian;C;5.50
290;Tempeh in ginger soy glaze over mac and cheese;Vegetarian;tempeh;squash;mac and cheese;ginger soy glaze;heavy cream;Vegetarian;C;5.40
291;Cheese omelette bowl with beetroot;Vegetarian;cheese omelette;beetroot;buttery mashed potatoes;alfredo sauce;none;Vegetarian;C;5.00
292;Black beans with cabbage & cheesy potatoes;Vegetarian;black beans;cabbage;cheesy potatoes;chimichurri;heavy cream;Vegetarian;C;5.00
293;Buttery Sausage with squash & polenta;Red meat;sausage;squash;polenta;bbq sauce;heavy cream;Red meat;C;5.40
294;Duck brown rice plate with bell peppers;Poultry;duck;bell peppers;brown rice;tahini sauce;feta;Poultry;C;5.40
295;Roasted seitan with cheesy potatoes, caramelized onions, celery & squash;Vegetarian;seitan;caramelized onions | celery | squash;cheesy potatoes;tahini sauce;blue cheese;Vegetarian;C;5.10
296;Lamb and fried eggplant cheesy potatoes mix;Red meat;lamb;fried eggplant | carrots;cheesy potatoes;soy sauce;ricotta;Red meat;C;5.50
297;Crispy Meatballs bowl with buttered corn;Red meat;meatballs;buttered corn;udon noodles;four cheese sauce;none;Red meat;C;5.00
298;Fried chicken in pesto over polenta;Poultry;fried chicken;bell peppers | fried eggplant | green beans;polenta;pesto;greek yogurt;Poultry;C;5.40
299;Grilled Sausage with sweet corn & gnocchi;Red meat;sausage;sweet corn;gnocchi;olive oil dressing;blue cheese;Red meat;C;5.40
300;Sesame Smoked turkey over bulgur;Poultry;smoked turkey;roasted garlic | cauliflower;bulgur;basil sauce;heavy cream;Poultry;C;5.20
301;Roasted Tempeh over gnocchi;Vegetarian;tempeh;fried onions | roasted garlic | fried eggplant;gnocchi;spicy mayo;blue cheese;Vegetarian;C;5.10
302;Black beans with polenta, spinach, eggplant & leeks;Vegetarian;black beans;spinach | eggplant | leeks;polenta;spicy mayo;none;Vegetarian;C;5.20
303;Duck with potatoes and zucchini;Poultry;duck;zucchini;potatoes;chimichurri;cottage cheese;Poultry;C;5.00
304;Tempeh with bell peppers & brown rice;Vegetarian;tempeh;bell peppers;brown rice;ginger soy glaze;none;Vegetarian;C;5.10
305;Tofu with creamy pasta, broccoli & cabbage;Vegetarian;tofu;broccoli | cabbage;creamy pasta;butter sauce;mozzarella;Vegetarian;C;5.00
306;Roasted ham and cauliflower udon noodles mix;Red meat;roasted ham;cauliflower;udon noodles;cheese sauce;blue cheese;Red meat;C;5.00
307;Creamy Fried chicken over buttery mashed potatoes;Poultry;fried chicken;creamed spinach;buttery mashed potatoes;butter sauce;cottage cheese;Poultry;C;5.00
308;Lentils in soy sauce over loaded fries;Vegetarian;lentils;celery | carrots | leeks;loaded fries;soy sauce;heavy cream;Vegetarian;C;5.30
309;Calamari in tahini sauce over udon noodles;Shellfish;calamari;onions | cauliflower | leeks;udon noodles;tahini sauce;none;Shellfish;C;5.50
310;Paneer wild rice plate with beetroot;Vegetarian;paneer;beetroot;wild rice;soy sauce;mozzarella;Vegetarian;C;5.10
311;Smoked turkey and asparagus loaded fries mix;Poultry;smoked turkey;asparagus;loaded fries;tahini sauce;heavy cream;Poultry;C;5.10
312;Fried tofu with bulgur, zucchini & caramelized onions;Vegetarian;fried tofu;zucchini | caramelized onions;bulgur;tahini sauce;blue cheese;Vegetarian;C;5.40
313;Tangy Chickpeas over pasta;Vegetarian;chickpeas;peas;pasta;ginger soy glaze;cheddar;Vegetarian;C;5.40
314;Veal with couscous, kale, cauliflower & tomatoes;Red meat;veal;kale | cauliflower | tomatoes;couscous;ranch sauce;cottage cheese;Red meat;C;5.40
315;Salmon and cauliflower creamy pasta mix;Fish;salmon;cauliflower;creamy pasta;olive oil dressing;cream cheese;Fish;C;5.10
316;Crispy black beans with udon noodles, onions, leeks & creamed spinachs;Vegetarian;black beans;onions | leeks | creamed spinach;udon noodles;soy sauce;heavy cream;Vegetarian;C;5.50
317;Cheesy chickpeas with potatoes & roasted garlic;Vegetarian;chickpeas;roasted garlic;potatoes;four cheese sauce;cream cheese;Vegetarian;C;5.40
318;Zesty Lentils with fried eggplant & bulgur;Vegetarian;lentils;fried eggplant;bulgur;olive oil dressing;feta;Vegetarian;C;5.50
319;Hake with gnocchi, tomatoes, fried eggplant & cauliflower;Fish;hake;tomatoes | fried eggplant | cauliflower;gnocchi;olive oil dressing;cottage cheese;Fish;C;5.00
320;Shrimp tempura with couscous and bell peppers;Shellfish;shrimp tempura;bell peppers;couscous;alfredo sauce;heavy cream;Shellfish;C;5.00
321;Chickpeas in chimichurri over polenta;Vegetarian;chickpeas;spinach | carrots;polenta;chimichurri;gouda;Vegetarian;C;5.50
322;Black beans gnocchi plate with asparagus;Vegetarian;black beans;asparagus;gnocchi;spicy mayo;parmesan;Vegetarian;C;5.20
323;Cod and onions creamy pasta mix;Fish;cod;onions | roasted garlic | caramelized onions;creamy pasta;ginger soy glaze;cottage cheese;Fish;C;5.20
324;Cheesy trout with quinoa, asparagus & broccoli;Fish;trout;asparagus | broccoli;quinoa;four cheese sauce;cottage cheese;Fish;C;5.20
325;Creamy Fried tofu over garlic butter noodles;Vegetarian;fried tofu;mushrooms;garlic butter noodles;olive oil dressing;gouda;Vegetarian;C;5.10
326;Cheese omelette in ginger soy glaze over mac and cheese;Vegetarian;cheese omelette;onions;mac and cheese;ginger soy glaze;gouda;Vegetarian;C;5.00
327;Trout couscous plate with spinach;Fish;trout;spinach;couscous;ginger soy glaze;heavy cream;Fish;C;5.10
328;Cheesy lamb with fried rice, beetroot, sweet corn & onions;Red meat;lamb;beetroot | sweet corn | onions;fried rice;four cheese sauce;cheddar;Red meat;C;5.30
329;Tuna with rice, cauliflower, kale & celery;Fish;tuna;cauliflower | kale | celery;rice;tomato sauce;parmesan;Fish;C;5.40
330;Tangy Pork belly over brown rice;Red meat;pork belly;kale;brown rice;alfredo sauce;cottage cheese;Red meat;C;5.40
331;Crispy lamb with gnocchi, celery & cauliflower;Red meat;lamb;celery | cauliflower;gnocchi;tahini sauce;parmesan;Red meat;C;5.40
332;Meatballs and eggplant polenta mix;Red meat;meatballs;eggplant;polenta;lemon herb sauce;cream cheese;Red meat;C;5.20
333;Crispy Tuna with squash & sweet potatoes;Fish;tuna;squash | spinach;sweet potatoes;chimichurri;cottage cheese;Fish;C;5.20
334;Tempeh in ranch sauce over polenta;Vegetarian;tempeh;roasted garlic | spinach | caramelized onions;polenta;ranch sauce;cheddar;Vegetarian;C;5.10
335;Mediterranean Cheese omelette with asparagus & potatoes;Vegetarian;cheese omelette;asparagus;potatoes;tomato sauce;parmesan;Vegetarian;C;5.40
336;Fried tofu in ranch sauce over creamy pasta;Vegetarian;fried tofu;spinach | fried eggplant;creamy pasta;ranch sauce;greek yogurt;Vegetarian;C;5.50
337;Chicken and broccoli loaded fries mix;Poultry;chicken;broccoli | sweet corn;loaded fries;alfredo sauce;cheddar;Poultry;C;5.50
338;Steak strips with garlic butter noodles, asparagus, bell peppers & peas;Red meat;steak strips;asparagus | bell peppers | peas;garlic butter noodles;basil sauce;cheddar;Red meat;C;5.00
339;Shrimp tempura with loaded fries, mushrooms, bell peppers & broccoli;Shellfish;shrimp tempura;mushrooms | bell peppers | broccoli;loaded fries;tahini sauce;ricotta;Shellfish;C;5.10
340;Tangy Shrimp tempura over butter rice;Shellfish;shrimp tempura;cabbage;butter rice;tomato sauce;ricotta;Shellfish;C;5.30
341;Buttery Turkey with bell peppers & bulgur;Poultry;turkey;bell peppers;bulgur;basil sauce;mozzarella;Poultry;C;5.10
342;Shrimp with bulgur, creamed spinach & buttered corn;Shellfish;shrimp;sweet corn | creamed spinach | buttered corn;bulgur;bbq sauce;cream cheese;Shellfish;C;5.40
343;Pork belly with wild rice, caramelized onions, peas & broccoli;Red meat;pork belly;caramelized onions | peas | broccoli;wild rice;tahini sauce;mozzarella;Red meat;C;5.20
344;Whitefish with sweet potatoes and asparagus;Fish;whitefish;asparagus | carrots | sweet corn;sweet potatoes;basil sauce;heavy cream;Fish;C;5.30
345;Smoked turkey fried rice plate with peas;Poultry;smoked turkey;peas;fried rice;four cheese sauce;gouda;Poultry;C;5.20
346;Paneer in four cheese sauce over couscous;Vegetarian;paneer;peas | buttered corn;couscous;four cheese sauce;cheddar;Vegetarian;C;5.20
347;Chickpeas with sweet potatoes, leeks & creamed spinach;Vegetarian;chickpeas;leeks | creamed spinach;sweet potatoes;ranch sauce;mozzarella;Vegetarian;C;5.40
348;Sausage over cheesy potatoes;Red meat;sausage;onions;cheesy potatoes;soy sauce;parmesan;Red meat;C;5.30
349;Black beans fried rice plate with leeks;Vegetarian;black beans;leeks | roasted garlic;fried rice;cream sauce;cheddar;Vegetarian;C;5.00
350;Bbq ribs in basil sauce over butter rice;Red meat;bbq ribs;spinach | mushrooms;butter rice;basil sauce;mozzarella;Red meat;C;5.00
351;Beef in ginger soy glaze over cheesy potatoes;Red meat;beef;beetroot | cauliflower | peas;cheesy potatoes;ginger soy glaze;cheddar;Red meat;C;5.50
352;Tuna in four cheese sauce over pasta;Fish;tuna;roasted garlic;pasta;four cheese sauce;cheddar;Fish;C;5.30
353;Black beans with pasta, carrots, spinach & roasted garlic;Vegetarian;black beans;carrots | spinach | roasted garlic;pasta;lemon herb sauce;blue cheese;Vegetarian;C;5.00
354;Chicken and bell peppers sweet potatoes mix;Poultry;chicken;bell peppers;sweet potatoes;basil sauce;cheddar;Poultry;C;5.40
355;Sesame Fried fish bowl with kale;Fish;fried fish;kale;brown rice;cheese sauce;greek yogurt;Fish;C;5.10
356;Herb Veal over polenta;Red meat;veal;cauliflower | broccoli;polenta;chimichurri;gouda;Red meat;C;5.50
357;Anchovies with cheesy potatoes, cabbage, eggplant & mushrooms;Fish;anchovies;cabbage | eggplant | mushrooms;cheesy potatoes;lemon herb sauce;feta;Fish;C;5.30
358;Pork belly loaded fries plate with sweet corn;Red meat;pork belly;sweet corn | caramelized onions;loaded fries;ranch sauce;mozzarella;Red meat;C;5.50
359;Pork with pasta and fried eggplant;Red meat;pork;fried eggplant | peas;pasta;ranch sauce;ricotta;Red meat;C;5.10
360;Cheesy mackerel with gnocchi, leeks & peas;Fish;mackerel;leeks | peas;gnocchi;cheese sauce;none;Fish;C;5.10
361;Mackerel with butter rice, caramelized onions & buttered corn;Fish;mackerel;caramelized onions | buttered corn;butter rice;honey mustard;parmesan;Fish;D;5.20
362;Anchovies with loaded fries, green beans, creamed spinach & peas;Fish;anchovies;green beans | creamed spinach | peas;loaded fries;bbq sauce;cheddar;Fish;D;5.30
363;Lentils with mashed potatoes, beetroot & onions;Vegetarian;lentils;beetroot | onions;buttery mashed potatoes;spicy mayo;parmesan;Vegetarian;D;5.40
364;Fried tofu buttery mashed potatoes plate with creamed spinach;Vegetarian;fried tofu;creamed spinach | caramelized onions;buttery mashed potatoes;four cheese sauce;cheddar;Vegetarian;D;5.50
365;Seitan with garlic butter noodles and cabbage;Vegetarian;seitan;cabbage | fried onions;garlic butter noodles;cream sauce;heavy cream;Vegetarian;D;5.20
366;Veal with buttery mashed potatoes and buttered corn;Red meat;veal;buttered corn | roasted garlic;buttery mashed potatoes;alfredo sauce;heavy cream;Red meat;D;5.40
367;Smoky Tuna over mac and cheese;Fish;tuna;celery | bell peppers;mac and cheese;cream sauce;blue cheese;Fish;D;5.00
368;Tangy Whitefish with mushrooms & fried rice;Fish;whitefish;mushrooms | squash | asparagus;fried rice;honey mustard;parmesan;Fish;D;5.10
369;Calamari and caramelized onions loaded fries mix;Shellfish;calamari;caramelized onions | green beans;loaded fries;alfredo sauce;blue cheese;Shellfish;D;5.40
370;Fried chicken and fried eggplant garlic butter noodles mix;Poultry;fried chicken;fried eggplant | sweet corn;garlic butter noodles;butter sauce;parmesan;Poultry;D;5.40
371;Turkey with creamy pasta, peas, asparagus & tomatoes;Poultry;turkey;peas | asparagus | tomatoes;creamy pasta;butter sauce;cheddar;Poultry;D;5.50
372;Lamb with butter rice, leeks, sweet corn & eggplant;Red meat;lamb;leeks | sweet corn | eggplant;butter rice;spicy mayo;cream cheese;Red meat;D;5.30
373;Duck with loaded fries and bell peppers;Poultry;duck;bell peppers | green beans | kale;loaded fries;cheese sauce;heavy cream;Poultry;D;5.20
374;Smoked turkey over loaded fries;Poultry;smoked turkey;sweet corn | peas | beetroot;loaded fries;honey mustard;cheddar;Poultry;D;5.20
375;Duck and buttered corn mac and cheese mix;Poultry;duck;buttered corn | mushrooms | green beans;mac and cheese;bbq sauce;parmesan;Poultry;D;5.20
376;Tangy Sausage over creamy pasta;Red meat;sausage;buttered corn | green beans;creamy pasta;spicy mayo;parmesan;Red meat;D;5.00
377;Smoked turkey bowl with cabbage;Poultry;smoked turkey;cabbage | zucchini;butter rice;honey mustard;heavy cream;Poultry;D;5.10
378;Crispy Shrimp over creamy pasta;Shellfish;shrimp;bell peppers | broccoli | buttered corn;creamy pasta;cheese sauce;parmesan;Shellfish;D;5.50
379;Cheesy kidney beans with buttered corn, roasted garlic & creamed spinach;Vegetarian;kidney beans;buttered corn | roasted garlic | creamed spinach;cheesy potatoes;cream sauce;blue cheese;Vegetarian;D;5.00
380;Grilled Shrimp tempura bowl with squash;Shellfish;shrimp tempura;squash | leeks | fried peppers;buttery mashed potatoes;honey mustard;blue cheese;Shellfish;D;5.50
381;Salmon with creamy pasta ;Fish;salmon;carrots | kale | peas;creamy pasta;honey mustard;gouda;Fish;D;5.20
382;Pork belly in bbq sauce over cheesy potatoes;Red meat;pork belly;roasted garlic | carrots;cheesy potatoes;bbq sauce;gouda;Red meat;D;5.40
383;Tangy Meatballs with buttered corn & fried rice;Red meat;meatballs;buttered corn | peas | celery;fried rice;ranch sauce;parmesan;Red meat;D;5.20
384;Tangy Kidney beans over fried rice;Vegetarian;kidney beans;mushrooms | spinach;fried rice;cream sauce;cream cheese;Vegetarian;D;5.30
385;Lentils with fried eggplant & garlic butter noodles;Vegetarian;lentils;fried eggplant | carrots | green beans;garlic butter noodles;four cheese sauce;cheddar;Vegetarian;D;5.20
386;Smoky Pork belly with buttered corn & creamy pasta;Red meat;pork belly;buttered corn | celery | tomatoes;creamy pasta;honey mustard;heavy cream;Red meat;D;5.20
387;Roasted Veal bowl with caramelized onions;Red meat;veal;caramelized onions | mushrooms | bell peppers;fried rice;butter sauce;cheddar;Red meat;D;5.20
388;Calamari in cream sauce over creamy pasta;Shellfish;calamari;bell peppers | carrots;creamy pasta;cream sauce;parmesan;Shellfish;D;5.50
389;Paneer in alfredo sauce over mac and cheese;Vegetarian;paneer;peas | asparagus;mac and cheese;alfredo sauce;gouda;Vegetarian;D;5.50
390;Roasted Duck bowl with fried peppers;Poultry;duck;fried peppers | sweet corn;buttery mashed potatoes;butter sauce;blue cheese;Poultry;D;5.50
391;Paneer in honey mustard over loaded fries;Vegetarian;paneer;squash | broccoli;loaded fries;honey mustard;gouda;Vegetarian;D;5.40
392;Fried fish in alfredo sauce over cheesy potatoes;Fish;fried fish;spinach | roasted garlic;cheesy potatoes;alfredo sauce;parmesan;Fish;D;5.40
393;Buttery Fried chicken with fried peppers & mac and cheese;Poultry;fried chicken;fried peppers | peas | zucchini;mac and cheese;cream sauce;heavy cream;Poultry;D;5.50
394;Tangy Fried tofu with roasted garlic & creamy pasta;Vegetarian;fried tofu;roasted garlic | fried onions;creamy pasta;spicy mayo;heavy cream;Vegetarian;D;5.10
395;Shrimp with fried rice, sweet corn & bell peppers;Shellfish;shrimp;sweet corn | bell peppers;fried rice;butter sauce;heavy cream;Shellfish;D;5.30
396;Cheese omelette in four cheese sauce over loaded fries;Vegetarian;cheese omelette;green beans | zucchini | caramelized onions;loaded fries;four cheese sauce;cream cheese;Vegetarian;D;5.10
397;Turkey with loaded fries, leeks & creamed spinach;Poultry;turkey;leeks | creamed spinach;loaded fries;ranch sauce;parmesan;Poultry;D;5.10
398;Crispy Black beans with caramelized onions & butter rice;Vegetarian;black beans;caramelized onions | zucchini;butter rice;honey mustard;gouda;Vegetarian;D;5.50
399;Grilled Shrimp tempura with eggplant & cheesy potatoes;Shellfish;shrimp tempura;eggplant | roasted garlic | caramelized onions;cheesy potatoes;four cheese sauce;gouda;Shellfish;D;5.10
